City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Timmins,CA,48.4669,-81.3331,-0.58,50,20,3.44,few clouds
303,Gatesville,US,31.4352,-97.7439,66.15,23,0,10.36,clear sky
304,Xuchang,CN,34.0167,113.8167,32.88,84,64,3.13,broken clouds
305,Harper,LR,4.375,-7.7169,78.26,84,66,6.04,broken clouds
306,Itarema,BR,-2.9248,-39.9167,80.26,77,8,14.05,clear sky
307,Saint-Augustin,CA,51.226,-58.6502,-3.93,83,1,8.77,clear sky
308,Rapar,IN,23.5667,70.6333,65.52,60,0,10.11,clear sky
309,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,57,75,6.71,broken clouds
310,Chilca,PE,-12.5211,-76.7372,77.16,77,42,8.61,scattered clouds
311,Ponta Do Sol,PT,32.6667,-17.1,63.72,70,97,3.29,overcast clouds
312,Dandong,CN,40.1292,124.3947,27.55,96,100,1.59,snow
313,Ust-Barguzin,RU,53.45,108.9833,-18.53,92,89,6.31,overcast clouds
314,Utrecht,NL,52.0,5.25,52.02,69,100,10.0,overcast clouds
315,Irpa Irpa,BO,-17.7167,-66.2667,78.8,65,100,4.38,overcast clouds
316,Chaihe,CN,44.7667,129.7,-8.21,99,100,2.62,overcast clouds
317,Kaitangata,NZ,-46.2817,169.8464,57.92,73,11,2.44,few clouds
318,Northam,GB,51.0333,-4.2167,48.02,92,100,22.48,overcast clouds
319,Korgen,NO,66.0771,13.8153,30.33,98,99,3.6,light snow
320,Tigil,RU,57.8,158.6667,-9.98,98,100,3.04,overcast clouds
321,Nemuro,JP,43.3236,145.575,26.78,86,100,10.65,overcast clouds
322,Elko,US,41.0002,-115.5012,57.06,31,0,3.76,clear sky
323,Lichuan,CN,30.3,108.85,31.44,96,16,2.86,few clouds
324,Papetoai,PF,-17.4961,-149.8729,85.59,75,72,17.05,light rain
325,Aksu,CN,41.1231,80.2644,28.67,40,10,5.17,clear sky
326,Matipo,BR,-20.2839,-42.3411,72.16,91,32,3.58,scattered clouds
327,Broome,US,42.2506,-75.833,24.01,60,100,8.05,overcast clouds
